0.218966	0.686146	0	0	0.218966	0.686146	0.119984	0.600207	-4.80057	0.00497648
-0.305572	0.557491	-4.76865	-1.16962	-0.306645	0.557228	-0.360093	0.601244	-4.80155	0.0165887
-0.917731	0.496906	-6.06339	-0.630104	-0.920801	0.498185	-0.840279	0.603774	-4.80296	0.0348368
-1.27112	0.54117	-4.5625	0.00642899	-1.21709	0.564086	-1.32061	0.608459	-4.80472	0.0597206
-1.54501	0.601458	-3.76492	0.267292	-1.46626	0.627215	-1.80112	0.615965	-4.80673	0.0912385
-2.14243	0.725083	-4.56108	0.61648	-2.28461	0.787442	-2.28182	0.626953	-4.80884	0.129387
-2.67995	0.81984	-4.82443	0.723584	-2.7473	0.847233	-2.76273	0.642086	-4.81089	0.174159
-3.23683	0.886536	-5.05451	0.706083	-3.30883	0.881059	-3.24381	0.662026	-4.8127	0.225545
-3.75257	0.686616	-5.08605	-0.122591	-3.76347	0.400296	-3.72504	0.687432	-4.81403	0.283526
-4.3422	0.562331	-5.33562	-0.467664	-4.43196	0.438228	-4.20636	0.718963	-4.81465	0.348081
-4.80486	0.687596	-5.11558	0.0662102	-4.72477	0.881914	-4.68769	0.757274	-4.81428	0.419174
-5.30313	0.703574	-5.07414	0.0953912	-5.28802	0.714213	-5.1689	0.803017	-4.81263	0.496763
-5.69474	0.871557	-4.71228	0.590489	-5.5629	1.05194	-5.64986	0.856837	-4.80937	0.580791
-6.03369	0.909748	-4.2988	0.525287	-5.88309	0.886	-6.1304	0.919375	-4.80415	0.671184
-6.59894	0.925883	-4.72185	0.411547	-6.75307	0.884443	-6.61028	0.991262	-4.79662	0.767854
-7.08872	1.09163	-4.77682	0.800795	-7.10876	1.23352	-7.08928	1.07312	-4.78638	0.87069
-7.5649	1.16176	-4.77213	0.769743	-7.56319	1.15044	-7.56709	1.16556	-4.77304	0.979561
-8.02341	1.21099	-4.7137	0.683057	-8.00209	1.17936	-8.04339	1.26918	-4.75615	1.09431
-8.48416	1.29013	-4.68056	0.716907	-8.47207	1.30248	-8.51779	1.38455	-4.7353	1.21475
-8.96181	1.46507	-4.71052	1.0394	-8.97275	1.58275	-8.98989	1.51223	-4.71002	1.34067
-9.49075	1.51427	-4.89131	0.868426	-9.55672	1.45188	-9.45921	1.65276	-4.67987	1.47183
-10.0792	1.7248	-5.20167	1.25477	-10.1925	1.86579	-9.92526	1.80665	-4.64437	1.60795
-10.415	1.88413	-4.62552	1.36051	-10.2047	1.92272	-10.3875	1.97438	-4.60307	1.7487
